CO,CDS,DISTRICT,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type
21,65433,Ross Elementary,"7,643,266",369.2,"20,701",Elementary               
21,65458,San Rafael City Elementary,"52,104,756","4,545.9","11,462",Elementary               
21,65466,San Rafael City High,"34,927,415","2,483.0","14,067",High                     
21,65474,Sausalito Marin City Elementary,"5,236,259",115.6,"45,300",Elementary               
21,65482,Tamalpais Union High,"83,965,986","4,562.0","18,405",High                     
21,73361,Shoreline Unified,"13,174,761",477.8,"27,574",Unified                  
21,75002,Ross Valley Elementary,"24,124,897","2,007.3","12,019",Elementary               
22,65532,Mariposa County Unified,"19,339,352","1,565.1","12,357",Unified                  
23,65540,Anderson Valley Unified,"7,752,326",452.7,"17,124",Unified                  
23,65565,Fort Bragg Unified,"21,463,854","1,684.6","12,741",Unified                  
23,65573,Manchester Union Elementary,"762,345",36.6,"20,812",Elementary               
23,65581,Mendocino Unified,"8,017,628",471.3,"17,011",Unified                  
23,65607,Round Valley Unified,"6,546,496",359.4,"18,213",Unified                  
23,65615,Ukiah Unified,"68,447,381","5,574.7","12,278",Unified                  
23,65623,Willits Unified,"19,074,492","1,410.5","13,524",Unified                  
23,73866,Potter Valley Community Unified,"3,768,164",243.5,"15,478",Unified                  
23,73916,Laytonville Unified,"5,165,714",344.9,"14,976",Unified                  
23,75218,Leggett Valley Unified,"2,289,484",115.2,"19,877",Unified                  
23,76349,Arena Union Elementary/Point Arena Joint Union High ,"7,033,222",341.9,"20,573",Comm admin dist          
24,65631,Atwater Elementary,"46,918,402","4,851.4","9,671",Elementary               
24,65649,Ballico-Cressey Elementary,"4,018,524",364.2,"11,035",Elementary               
24,65680,El Nido Elementary,"2,063,410",162.4,"12,705",Elementary               
